;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
23;11159010;CAPURGANA - TX GPRS;ACANDÍ;CHOCÓ;ATRATO - DARIÉN;8.616;-77.331;2007-04-12 12:00:00;2020-03-10 10:55:10;60.0;5.0;(72836, 3);1106.0;600.2;1011.7478043824523;13.659129007985428;1008.5
24;22075050;PARAMO DE YERBABUENA  - AUT;RONCESVALLES;TOLIMA;SALDAÑA;4.075805556;-75.70083333;2009-06-11 10:00:00;2022-01-03 00:00:00;60.0;60.0;(72041, 3);689.7;574.7;683.5998695187412;4.698011096810799;684.0
25;21205513;LA RAMADA  - AUT;FUNZA;CUNDINAMARCA;ALTO MAGDALENA;4.505;-74.184;2018-10-29 15:00:00;2022-02-22 18:00:00;10.0;10.0;(147662, 3);756.407;728.453;752.2367600601706;1.39748147977694;752.316
26;26155240;PNN NEVADOS - AUT;VILLAMARIA;CALDAS;CAUCA;4.859444444;-75.38241667;2007-11-16 18:00:00;2022-05-19 08:00:00;120.0;60.0;(98957, 3);1132.1;460.8;686.4683367523348;28.496523706055342;701.9
27;24035370;EL ESPINO - AUT;EL ESPINO;BOYACÁ;SOGAMOSO;6.506722222;-72.45266667;2005-02-08 07:40:00;2022-05-26 23:00:00;958.0;60.0;(113058, 3);1132.1;615.0;671.795856993749;19.96329200418412;671.8
28;13055040;INCODER - AUT;MONTERÍA;CORDOBA;SINÚ;8.746944444;-75.91388889;2005-01-11 06:55:05;2017-05-02 12:00:00;256.0;60.0;(83970, 3);1183.1;500.1;1005.3809860664422;7.464875683447618;1005.1
29;52055210;BOTANA - AUT;PASTO;NARIÑO;PATÍA;1.16;-77.27880556;2005-05-12 14:00:00;2022-05-26 23:00:00;180.0;60.0;(119510, 3);737.0;600.0;732.280835913315;1.4374450719256333;732.4
30;52055220;EL PARAISO - AUT;TÚQUERRES;NARIÑO;PATÍA;1.070611111;-77.63688889;2005-11-23 18:00:00;2022-05-26 23:00:00;60.0;60.0;(113729, 3);789.7;600.0;711.310642843938;1.9729290086597682;711.4
31;35215020;APTO YOPAL;YOPAL;CASANARE;META;5.32;-72.388;2007-04-18 12:00:00;2022-05-26 23:00:00;60.0;60.0;(72014, 3);1106.1;500.4;975.5273141333696;14.23166534377626;975.9
32;21205506;GUAMAL - CAR;SUBACHOQUE;CUNDINAMARCA;ALTO MAGDALENA;5.025;-74.153;2015-11-01 17:00:00;2021-03-27 14:00:00;60.0;60.0;(36078, 3);708.0;700.0;704.0557957758191;1.2506518407214051;704.0
33;28025120;SERRANIA DEL PERIJA  - AUT;AGUSTÍN CODAZZI;CESAR;CESAR;10.02908333;-73.04619444;2007-03-22 16:00:00;2019-10-06 11:00:00;1020.0;120.0;(40997, 3);1157.9;422.7;790.3551625728738;33.37253890767048;781.4
34;23195200;CACHIRI  - AUT;SURATÁ;SANTANDER;MEDIO MAGDALENA;7.473888889;-72.99111111;2019-03-05 06:00:00;2022-05-26 23:00:00;60.0;60.0;(22841, 3);815.6;806.9;811.4878595508084;1.3457937373131403;811.5
35;23085270;APTO J.M CORDOVA TX GPRS;RIONEGRO;ANTIOQUIA;MEDIO MAGDALENA;6.169;-75.426;2014-06-13 14:00:00;2022-02-06 09:00:00;60.0;60.0;(61147, 3);845.7;500.1;790.7284412972073;3.228933549761635;790.5
36;21205505;PTAR TOCANCIPA - CAR;TOCANCIPÁ;CUNDINAMARCA;ALTO MAGDALENA;4.97;-73.918;2015-11-01 17:00:00;2021-03-27 14:00:00;60.0;60.0;(37572, 3);757.0;747.0;752.789364420313;1.488493698126758;753.0
37;21205527;ALTO DEL AIRE  - AUT;CUCUNUBÁ;CUNDINAMARCA;ALTO MAGDALENA;5.198;-73.805;2018-10-29 15:00:00;2022-01-26 10:00:00;10.0;10.0;(134666, 3);718.302;506.17;682.7160433962721;72.65470338413039;713.939
38;23065506;BELLAVISTA  - AUT;FACATATIVÁ;CUNDINAMARCA;ALTO MAGDALENA;4.861;-74.405;2018-10-29 15:00:00;2020-12-30 18:00:00;10.0;10.0;(100214, 3);805.298;717.73;721.9557948290648;1.2723813493002196;721.999
