0,1,2
25025380,-75.045,9.164
24035430,-73.11636111,5.745916667
24015501,-73.57333056,5.882777778
23195090,-72.9875,7.365833333
26115090,-76.14427778,4.775583333
21205910,-74.00119444,4.989222222
24055501,-73.38411667,6.863566667
23087230,-74.60711111,6.211972222
23197700,-73.09305556,7.160277778
21115501,-75.02849722,2.960666667
35085060,-73.16994444,5.294944444
35027001,-73.941,4.403
2403700149,-72.5012,6.5607
35075070,-73.35038889,5.21925
11030010,-76.613,5.375
35195060,-72.791,5.524
52055502,-77.46035833,1.300888889
2613500126,-75.558080556,4.885680556
23195200,-72.99111111,7.473888889
23025502,-75.33221944,5.044997222
23055502,-75.06638889,5.383333333
23195502,-73.185,7.121
35035110,-73.58686111,4.273861111
21057060,-75.76113889,2.460444444
21195170,-74.39805556,3.993611111
37037010,-72.15261111,7.034555556
21257100,-74.97194444,4.795083333
24037190,-73.01380556,5.807611111
2612500130,-75.568858333,4.633475
24030680,-72.59083333,6.653333333
35085070,-73.25669444,4.84125
53115501,-76.63785833,3.610441667
3502500135,-73.812625,4.229669444
26135503,-75.65221944,4.971944444
11027030,-76.15205556,5.862
5311500121,-76.56475,3.645194444
2610500131,-75.940638889,3.929055556
35017020,-72.93638333,4.103019444
21015502,-76.30433056,1.851416667
2105700099,-75.987388889,2.579305556
3507500133,-73.375777778,5.422822222
26217010,-75.86419444,6.554972222
26215501,-75.92149722,6.042441667
26145505,-75.83555556,4.979219444
24035340,-72.968,5.677
26015040,-76.43574694,2.448041111
25020430,-75.767,8.717
24037290,-72.90652778,5.759888889
23065180,-74.47097222,5.016861111
47017070,-76.985,1.106305556
52055501,-77.48777778,1.254722222
23087210,-74.67330556,6.276083333
24030950,-72.72972222,6.706388889
21097070,-75.309,2.943
3706500109,-70.733080556,7.063780556
21050090,-75.8065,2.551444444
23050420,-75.13852778,5.731138889
26157190,-75.45111111,4.900916667
21215501,-75.25,4.45
36015501,-72.11944167,5.872219444
26085501,-75.998,5.001330556
13035501,-75.825,8.826
27015330,-75.589,6.221
24035390,-72.69633333,6.945388889
26065501,-76.68021944,3.215580556
26177030,-75.883,4.893
21057050,-75.94216667,2.331444444
23190130,-72.97055556,7.196111111
35105050,-72.95358333,4.468666667
21187030,-75.09272222,4.232055556
35075080,-73.56277778,5.392388889
2401700091,-73.224222222,6.769888889
24025501,-73.22111111,6.493052778
26125505,-75.67138889,4.501111111
11045010,-76.644,5.691
2633500119,-76.202125,3.882797222
2604500039,-76.252777778,3.178611111
22045502,-75.66666667,3.95
36015020,-71.41983333,5.816194444
2302500037,-75.316638889,5.139916667
2614500112,-75.800166667,5.275944444
3602700101,-71.618483333,6.227680556
29047000,-74.76,10.937
13077060,-75.83444444,9.224444444
26155150,-75.35038889,4.934527778
21137030,-75.25097222,3.263416667
2403500041,-73.081783333,5.78755
21195120,-74.39613889,4.395777778
26205501,-75.70527778,5.625830556
24037080,-73.04672222,5.566972222
13067020,-75.89241667,8.751611111
5311500056,-76.987016667,3.848308333
21105030,-75.32225,2.521694444
29065501,-74.08156667,10.89785833
53115502,-76.53305556,3.809163889
2201500047,-75.80245,3.284138889
26237040,-75.396,7.287
44035501,-75.3402,1.573819444
23217080,-73.75338889,8.284286111
2611700158,-76.290080556,4.152194444
25027760,-75.134,8.302
24055070,-73.47205556,6.823388889
26125300,-75.59638889,4.528305556
1602500110,-72.799169444,7.645111111
23127060,-74.09833333,6.291944444
26165501,-75.5,5.433333333
14019030,-75.534,10.391
35027100,-74.01019444,4.428638889
48015040,-70.363,-3.78
52015050,-77.22166667,2.032777778
35197020,-72.75480556,5.506805556
44017070,-76.56222222,1.705
23087150,-75.37994444,6.143472222
51025080,-78.0925,1.248333333
2633700150,-76.347022222,3.894569444
16015502,-72.62110833,7.564997222
35160020,-72.913,5.6
2403000113,-72.4836,6.6058
44017120,-76.66102778,1.213611111
1605700152,-73.3045,8.290761111
26075150,-76.382,3.533
21205710,-74.10266667,4.669333333
24017590,-73.67777778,5.872777778
26115501,-76.31497222,4.213611111
21045501,-76.01191667,2.041941667
2401500040,-73.784541667,5.219558333
23085501,-75.18666667,6.061941667
23067040,-74.63175,5.759222222
35185010,-72.56447222,4.260361111
26125508,-75.73805556,4.7475
21205502,-74.44055556,4.544997222
26127010,-75.875,4.41
16047010,-73.08305556,8.043333333
2306500106,-74.537586111,5.001902778
26105250,-75.92519444,4.689777778
21255501,-75.04,4.895
37027010,-72.42477778,7.196972222
24037030,-73.23113889,5.681722222
24017740,-73.54213889,5.677888889
17019010,-81.703,12.556
2401500080,-73.386469444,5.634380556
24025030,-73.16389139,5.966388889
21197010,-74.504444444,4.011694444
2403500085,-72.835602778,6.187794444
2405700149,-73.198638889,6.793777778
21065501,-75.50972222,2.325552778
56015010,-77.404,6.223
57025020,-78.174,2.963
25027770,-75.239,8.306
11057020,-76.76180556,6.286666667
2614500116,-75.768947222,5.532161111
42077020,-70.239,1.26
24035410,-72.91115278,5.753333333
25025350,-75.3875,9.316388889
26125504,-75.73416667,4.395555556
29047070,-74.908,10.268
35095130,-72.282,6.362
25025030,-75.165,8.295
21206280,-74.33305556,4.653833333
37045010,-71.89055556,6.946388889
3518700145,-72.900888889,4.88565
24035250,-72.46633333,6.188333333
16025501,-72.79790278,7.519455556
25027910,-74.561,8.345
25027750,-75.131,8.655
26075501,-76.17735833,3.291469444
1509500118,-73.84445,11.21015
23125160,-74.07130556,5.647027778
1206500136,-75.513280556,10.400311111
2319500137,-72.8762,7.3102
21205940,-74.38397222,4.834972222
26055100,-76.6515,3.416055556
21185501,-75.28305556,4.266666667
26180250,-75.31777778,5.35
51020011,-77.929,1.142
11047040,-76.66225833,5.697991667
2120700162,-74.520027778,4.63825
2401500086,-73.5522,5.4417
47017110,-77.30694444,0.807777778
2120500050,-74.043444444,5.158861111
52057050,-77.48227778,1.383
21209920,-73.77905556,5.19225
24025090,-72.96888889,6.47
21237010,-74.838375,4.387777778
2619700161,-75.90825,5.880972222
24037490,-72.63830556,6.437972222
23065110,-74.35458333,5.484166667
21206990,-74.209,4.691416667
11025501,-76.14516667,5.888719444
21017030,-76.23172222,1.8735
15065501,-72.61594444,11.13758333
23025501,-75.11740833,5.163913889
24035370,-72.45266667,6.506722222
21015030,-76.29497222,1.888472222
26135501,-75.79333333,4.868333333
21055501,-75.87805556,2.345830556
24017640,-73.30694444,6.448888889
54025010,-76.232,4.898
26125509,-75.72508056,4.299444444
26017060,-76.49744444,2.204166667
26057030,-76.592,3.243
17015010,-81.731,12.542
35165000,-72.941,5.575
24015300,-73.54394444,5.655833333
21195190,-74.31175,4.310111111
3503500062,-73.711511111,4.350355556
15065180,-72.918,11.53
2119700147,-74.742869444,4.242711111
33035010,-71.341,4.574
21147030,-74.86691667,3.327527778
26125506,-75.7925,4.518333333
26207080,-75.84147222,5.965944444
26155503,-75.58971944,4.989722222
2403000117,-72.497694444,6.447166667
2319500125,-73.178361111,7.649638889
26145501,-75.93305556,5.105055556
2119500111,-74.636830556,4.212219444
3702500113,-72.300419444,7.099138889
2319500043,-73.1094,7.0568
26095320,-76.30000556,3.834805556
52015501,-77.19266667,2.125191667
23097030,-74.401,6.485
2612500124,-75.684138889,4.331361111
25025240,-74.543,8.544
23180070,-73.48944444,7.39
21215160,-75.24386111,4.470361111
21097120,-75.39638889,2.728416667
31095030,-67.932,3.868
47017170,-76.835972222,0.489222222
3507500046,-73.484027778,4.976083333
21205660,-74.52661111,4.581888889
54035501,-76.11446944,4.726388889
23125140,-74.18241667,5.520833333
26145504,-75.812775,5.325552778
25027050,-75.08975,8.025444444
26015010,-76.58129361,2.474833056
24035360,-72.99702778,5.985416667
35167010,-72.9,5.584
22045010,-75.50344444,3.722444444
23067060,-74.44705556,5.125305556
46035010,-75.16266667,1.640222222
25020440,-75.016,9.402
51039010,-78.73027778,1.819305556
35235010,-72.529,6.012
16055501,-73.33944167,8.412497222
21205012,-74.08908333,4.638083333
26145506,-75.84574722,4.986358333
3518500127,-72.8651,4.987080556
26147140,-75.85891667,4.987944444
21127030,-75.59244444,2.971777778
26145503,-75.77961667,5.231330556
26195502,-75.99044167,5.868666667
35085080,-73.436,5.099194444
26175501,-75.63305556,5.45
26155502,-75.59749722,4.991111111
21205791,-74.151,4.706
15065040,-72.82847222,10.89813889
21206960,-74.06666667,4.6
23205050,-74.24097222,7.885416667
2308500071,-75.509513889,6.060275
2403000114,-72.479,6.5774
23125501,-73.96032778,5.657130556
35035100,-73.625,4.137388889
21037020,-75.94541667,1.752277778
25025190,-75.58372222,8.399333333
1303500129,-75.450833333,8.942472222
52017110,-76.84822222,2.328361111
3519700092,-72.30865,4.816419444
26125502,-75.86396111,4.297558333
26135502,-75.62416389,4.911944444
35095120,-72.88175,5.556638889
14015080,-75.51602778,10.44725
35235050,-72.167,5.819
21137050,-75.11880556,3.443194444
29015000,-74.85222222,10.06444444
22077050,-75.306,4.150388889
26145507,-75.80599722,5.038
2636700098,-76.049247222,4.2398
22025501,-75.63305556,3.416666667
52055230,-77.678,0.857
2120700146,-74.04,4.85475
21257090,-74.85313889,4.890777778
21107020,-75.37427778,2.566388889
26027200,-76.55844444,2.53675
23065501,-74.15769722,5.129127778
23085260,-75.41455556,6.131916667
51025090,-78.696,1.55
26167070,-75.66419444,5.268305556
23195230,-73.10730556,7.102611111
26185501,-75.34780556,5.677719444
26015050,-76.48202778,2.191722222
2120500135,-74.032669444,4.85475
2403500084,-72.79485,5.758019444
23067070,-74.467111111,5.008583333
15065190,-72.821,11.227
2604500134,-76.262083333,2.952388889
48015050,-69.94091667,-4.193861111
37015030,-72.8685,7.187
2121500042,-75.336,4.600222222
21237020,-74.72761111,5.202416667
35037100,-73.63536111,4.235333333
25020600,-75.601,8.49
35160000,-72.867,5.614
21206920,-74.15,4.35
25020470,-75.393,9.118
2403500082,-73.251052778,5.506097222
11117050,-76.26638889,7.004388889
29065000,-74.50666667,10.51002778
24055080,-73.70488889,6.982972222
26145090,-75.90294444,5.207472222
35227070,-71.34536111,4.783055556
26015030,-76.40354389,2.356848889
