"cod_estacion","latitud","longitud","max","min"
13057010,8.499,-75.979,"2020-11-28 05:20:00","2005-05-17 16:30:00"
1303500074,8.508777778,-76.175416667,"2022-04-29 13:40:00","2019-03-04 14:10:00"
13055040,8.746944444,-75.91388889,"2017-05-02 12:00:00","2005-05-19 11:10:00"
12045020,9.071111111,-76.22444444,"2020-06-30 07:10:00","2019-03-18 16:40:00"
