Codigo;Estacion;Longitud;Latitud;Ciudad;Barrio;Comuna;Corregimiento;Vereda;Fecha_Instalacion;Estado
1;Casa de Gobierno Altavista;-75.6282;6.2226;Medellin;;;70 Altavista;Altavista - Sector central;19/11/2009;Activa
2;Escuela Rural La Verde;-75.64069;6.18686;Medellin;;;80 San Antonio de Prado;La Verde;12/11/2009;Activa
3;Escuela Rural Yarumalito;-75.69426;6.23309;Medellin;;;80 San Antonio de Prado;Yarumalito;12/11/2009;Activa
4;I.E Hector Rogelio Montoya;-75.6908;6.34309;Medellin;;;50 Palmitas;Palmitas - Sector Central;26/11/2009;Activa
5;I.E Santa Elena;-75.49214;6.20621;Medellin;;;90 Santa Elena;Santa Elena Sector Central;13/11/2009;Activa
6;Casa de Cultura Las Estancias;-75.53886;6.23405;Medellin;Villatina;08 Villa Hermosa;;;17/11/2009;Inactiva
7;Escuela Republica de Cuba;-75.57721;6.29397;Medellin;La Esperanza;06 Doce Octubre;;;17/11/2009;Activa
8;Escuela CEDEPRO;-75.63624;6.21959;Medellin;;;70 Altavista;Buga - Patio Bonito;19/11/2009;Activa
9;Instituto Pedro Justo Berrio;-75.61093;6.23728;Medellin;Las Mercedes;16 Belen;;;20/11/2009;Activa
10;Escuela Rural El Boqueron;-75.65763;6.31533;Medellin;;;60 San Cristobal;Boqueron;20/11/2009;Activa
11;Escuela Rural Fabio Zuluaga;-75.65164;6.27313;Medellin;;;60 San Cristobal;La Palma;20/11/2009;Activa
12;I.E Concejo de Medellin;-75.6005;6.258;Medellin;La Floresta;12 La America;;;23/11/2009;Activa
13;I.E Maria de los Angeles Cano;-75.54472;6.29231;Medellin;Granizal;01 Popular;;;14/12/2009;Inactiva
14;Escuela El Triunfo ;-75.58491;6.30634;Medellin;El Triunfo;06 Doce Octubre;;;23/11/2009;Activa
15;Colegio San Lucas ;-75.56653;6.181;Medellin;San Lucas;14 El Poblado;;;17/12/2009;Activa
16;I.E Ramon Munera Lopera;-75.54344;6.26977;Medellin;El Raizal;03 Manrique;;;14/12/2009;Activa
17;Escuela El Corazon ;-75.62977;6.24723;Medellin;El Corazon;13 San Javier;;;28/01/2010;Activa
18;Escuela El Salado;-75.67103;6.21113;Medellin;;;80 San Antonio de Prado;El Salado;14/01/2010;Activa
19;Tecnologico Antioquia;-75.60374;6.17832;Itagüí;Las Americas-Zona Industrial No. 1;;;;14/01/2010;Activa
20;Fundacion Hogares Claret;-75.61133;6.29411;Medellin;;;60 San Cristobal;Pajarito;18/01/2010;Activa
21;Escuela Rural San Jose de la Montana;-75.63913;6.30408;Medellin;;;60 San Cristobal;San Jose de la Montana;18/01/2010;Activa
22;Escuela La Capilla del Rosario ;-75.60204;6.20519;Medellin;Belen Rincon;16 Belen;;;28/01/2010;Activa
23;Instituto Jorge Robledo;-75.58113;6.25827;Medellin;Carlos E. Restrepo;11 Laureles - Estadio;;;18/01/2010;Activa
24;I.E Republica de Uruguay;-75.5769;6.28369;Medellin;Alfonso Lopez;05 Castilla;;;22/01/2010;Activa
