"cod_estacion","latitud","longitud","max","min"
1303500074,8.508777778,-76.175416667,"2022-09-01 09:00:00","2019-03-19 12:00:00"
13055040,8.746944444,-75.91388889,"2017-05-02 12:00:00","2005-05-19 12:00:00"
12045020,9.071111111,-76.22444444,"2021-12-22 12:00:00","2019-03-18 17:00:00"
