Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
32,Colegio Presbitero Bernardo Montoya ,-75.49885,6.35397,Copacabana,La Maria,,,,2010-01-29,Activa
33,Santa Maria Goretti,-75.63747,6.09446,Caldas,La Docena,,,,2010-02-01,Activa
34,I.E La Doctora,-75.61315,6.14144,Sabaneta,Vegas de la Doctora,,,,2010-02-02,Activa
35,I.E Joaquin Vallejo Arbelaez ,-75.54248,6.25525,Medellin,La Ladera,08 Villa Hermosa,,,2010-04-28,Activa
36,Colegio Concejo de Itagui,-75.64380,6.16793,Itagui,Ditaires,Comuna 03,,,2010-03-27,Activa
37,Liceo Fernando Velez,-75.56780,6.33755,Bello,El Carmelo,Comuna 05,,,2010-02-02,Activa
38,Casa Cultura La Estrella,-75.64447,6.15553,La Estrella,La Chinca,,,,2010-02-05,Inactiva
39,I.E Pedro Octavio Amado,-75.61056,6.22179,Medellin,Altavista,16 Belen,,,2010-04-30,Activa
40,I.E Ciro Mendia,-75.55587,6.29009,Medellin,Moscu No1,02 Santa Cruz,,,2010-02-12,Activa
41,Comisaria El Poblado,-75.56616,6.20661,Medellin,La Florida,14 El Poblado,,,2010-03-24,Activa
42,Escuela Rural Piedras Gordas,-75.49844,6.23637,Medellin,,,90 Santa Elena,Piedra Gorda,2010-03-24,Activa
43,Escuela Rural Quebrada Larga,-75.68574,6.20556,Medellin,,,80 San Antonio de Prado,Yarumalito,2011-01-03,Activa
44,I.E Villa Turbay,-75.53024,6.23563,Medellin,Villa Turbay,08 Villa Hermosa,,,2010-04-28,Activa
45,AMVA,-75.57403,6.24224,Medellin,Calle Nueva,10 La Candelaria,,,2010-08-31,Activa
46,I.E La Milagrosa ,-75.55425,6.23522,Medellin,La Milagrosa,09 Buenos Aires,,,2010-04-30,Activa
47,Villa Nueva Sede La Luz,-75.49659,6.38852,Copacabana,,,,Zarzal La Luz,2011-03-04,Activa
48,Escuela Rural Santa Angela,-75.59467,6.30446,Medellin,,,60 San Cristobal,El Carmelo,2010-05-14,Activa
49,Colegio Latino (Av. Las Palmas),-75.54590,6.21217,Medellin,,,90 Santa Elena,Las Palmas,2011-03-12,Activa
50,Universidad CES (Sabaneta),-75.60475,6.15787,Sabaneta,Virgen del Carmen,,,,2011-03-12,Activa
51,Represa La Garcia ,-75.60020,6.36190,Bello,,,San Felix,La Primavera,2011-03-04,Activa
52,Centro Veterinario y de Zootecnia CES,-75.56175,6.14496,Envigado,,,,Perico,2011-03-10,Activa
53,Colegio Eduardo Santos,-75.62938,6.25865,Medellin,Eduardo Santos,13 San Javier,,,2011-03-24,Activa
54,I.E Juan Maria Cespedes,-75.59707,6.23537,Medellin,El Nogal - Los Almendros,16 Belen,,,2011-05-06,Activa
55,I.E Reino de Belgica,-75.53976,6.28479,Medellin,Maria Cano Carambolas,03 Manrique,,,2011-03-23,Activa
56,I.E Inem Jose Felix de Restrepo Sede Santa Catalina ,-75.56096,6.19978,Medellin,El Tesoro,14 El Poblado,,,2011-03-25,Activa
57,Escuela la Clara,-75.61859,6.04202,Caldas,,,,La Clara,2012-03-23,Activa
58,Escuela Luis Javier Garcia Isaza,-75.62417,6.04787,Caldas,,,,La Salada Parte Baja,2012-03-23,Activa
