,valor_observado,cod_estacion,fecha_observacion
0,15.61111111111111,27015300,2005-06-01
1,18.788345864661636,27015300,2006-04-01
2,18.598417266187038,27015300,2006-05-01
3,18.554310344827602,27015300,2006-06-01
4,19.30612903225806,27015300,2006-07-01
5,19.29374110953059,27015300,2006-08-01
6,18.87651195499295,27015300,2006-09-01
7,18.422680412371147,27015300,2006-10-01
8,17.904663212435242,27015300,2006-11-01
9,18.42754946727551,27015300,2006-12-01
10,19.124390243902454,27015300,2007-01-01
11,19.08113772455091,27015300,2007-02-01
12,18.744264943457196,27015300,2007-03-01
13,18.418791946308726,27015300,2007-04-01
14,18.316784203102966,27015300,2007-05-01
15,18.930911680911677,27015300,2007-06-01
16,18.972222222222225,27015300,2007-07-01
17,18.091056910569126,27015300,2007-08-01
18,18.345839210155145,27015300,2007-09-01
19,17.094513031550065,27015300,2007-10-01
20,17.874281609195396,27015300,2007-11-01
21,17.42751773049646,27015300,2007-12-01
22,17.702279202279215,27015300,2008-01-01
23,17.777126099706727,27015300,2008-02-01
24,17.46280991735537,27015300,2008-03-01
25,17.943657817109145,27015300,2008-04-01
26,17.75930555555556,27015300,2008-05-01
27,18.22391304347825,27015300,2008-06-01
28,18.010329985652817,27015300,2008-07-01
29,17.724848484848486,27015300,2008-08-01
30,18.10397058823531,27015300,2008-09-01
31,17.166233766233756,27015300,2008-10-01
32,17.586585365853665,27015300,2008-12-01
33,18.116058394160554,27015300,2009-01-01
34,18.02616666666667,27015300,2009-02-01
35,17.974793388429756,27015300,2009-03-01
36,18.835933147632314,27015300,2009-04-01
37,18.790860215053776,27015300,2009-05-01
38,19.305555555555557,27015300,2009-06-01
39,21.90949074074074,27015300,2012-06-01
40,22.60228898426322,27015300,2012-07-01
41,21.93186813186812,27015300,2012-08-01
42,22.515863141524097,27015300,2012-09-01
43,21.195276653171387,27015300,2012-10-01
44,21.54444444444446,27015300,2012-11-01
45,21.869489247311822,27015300,2012-12-01
46,22.87728494623655,27015300,2013-01-01
47,21.73601190476191,27015300,2013-02-01
48,22.598118279569878,27015300,2013-03-01
49,22.431388888888883,27015300,2013-04-01
50,21.533964817320687,27015300,2013-05-01
51,20.840823970037448,27015300,2013-06-01
52,6.060526315789467,27015300,2013-07-01
53,20.364615384615384,27015300,2013-09-01
54,21.472326203208553,27015300,2013-10-01
55,20.979554937413077,27015300,2013-11-01
56,21.373252688172037,27015300,2013-12-01
57,21.782884097035044,27015300,2014-01-01
58,21.957142857142845,27015300,2014-02-01
59,21.71419558359623,27015300,2014-03-01
60,21.89810671256455,27015300,2014-04-01
61,21.82346625766871,27015300,2014-05-01
62,22.95429936305733,27015300,2014-06-01
63,23.83238546603477,27015300,2014-07-01
64,23.630434782608695,27015300,2014-08-01
