,valor_observado,cod_estacion,fecha_observacion
0,22.8,27015290,2005-06-01
1,22.164403292181085,27015290,2005-09-01
2,20.61626984126983,27015290,2005-10-01
3,21.033382137628113,27015290,2005-12-01
4,21.352631578947374,27015290,2006-01-01
5,21.796930946291553,27015290,2006-02-01
6,21.45418918918916,27015290,2006-03-01
7,21.196218487394955,27015290,2006-04-01
8,21.489402173913053,27015290,2006-05-01
9,21.618803418803438,27015290,2006-06-01
10,22.855946398659952,27015290,2006-07-01
11,22.499999999999996,27015290,2006-08-01
12,22.192275280898883,27015290,2006-09-01
13,21.541935483870965,27015290,2006-10-01
14,20.785283687943267,27015290,2006-11-01
15,21.50015267175572,27015290,2006-12-01
16,22.24518828451884,27015290,2007-01-01
17,22.688438438438418,27015290,2007-02-01
18,21.808090614886726,27015290,2007-03-01
19,21.363455149501657,27015290,2007-04-01
20,21.27788331071912,27015290,2007-05-01
21,22.40690140845069,27015290,2007-06-01
22,22.29542302357837,27015290,2007-07-01
23,21.387692307692323,27015290,2007-08-01
24,21.661516452074384,27015290,2007-09-01
25,20.28951841359775,27015290,2007-10-01
26,21.002604920405215,27015290,2007-11-01
27,20.553079178885636,27015290,2007-12-01
28,20.980057388809204,27015290,2008-01-01
29,20.894698085419755,27015290,2008-02-01
30,20.62103064066854,27015290,2008-03-01
31,21.020238095238113,27015290,2008-04-01
32,20.704469273743022,27015290,2008-05-01
33,21.376121562952218,27015290,2008-06-01
34,21.046581196581183,27015290,2008-07-01
35,20.74058823529412,27015290,2008-08-01
36,21.13675832127352,27015290,2008-09-01
37,20.8161825726141,27015290,2008-10-01
38,20.401115760111566,27015290,2008-11-01
39,21.046165191740403,27015290,2008-12-01
40,21.21045197740113,27015290,2009-01-01
41,21.130992366412222,27015290,2009-02-01
42,20.89148629148629,27015290,2009-03-01
43,21.747426981919308,27015290,2009-04-01
44,21.919079837618384,27015290,2009-05-01
45,19.81305555555556,27015290,2009-06-01
46,19.78736413043475,27015290,2009-07-01
47,19.591610284167803,27015290,2009-08-01
48,20.249575070821535,27015290,2009-09-01
49,18.55426251691473,27015290,2009-10-01
50,19.059484346224703,27015290,2009-11-01
51,18.585012285012276,27015290,2009-12-01
52,19.898555377207046,27015290,2010-01-01
53,20.480261011419255,27015290,2010-02-01
54,20.623430962343086,27015290,2010-03-01
55,19.469898697539815,27015290,2010-04-01
56,19.559806629834267,27015290,2010-05-01
57,18.65896700143474,27015290,2010-06-01
58,17.93156462585036,27015290,2010-07-01
59,18.817663043478266,27015290,2010-08-01
60,17.694908062234806,27015290,2010-09-01
61,18.13215796897041,27015290,2010-10-01
62,17.568495077355838,27015290,2010-11-01
63,17.75795148247979,27015290,2010-12-01
64,18.72313937753722,27015290,2011-01-01
65,18.214199395770375,27015290,2011-02-01
66,18.03843031123138,27015290,2011-03-01
67,17.623011363636348,27015290,2011-04-01
68,18.650612244897957,27015290,2011-05-01
69,18.97252124645893,27015290,2011-06-01
70,19.00768072289155,27015290,2011-07-01
71,18.946575342465756,27015290,2011-08-01
72,18.800592592592583,27015290,2011-09-01
73,17.524281609195405,27015290,2011-10-01
74,17.662231759656656,27015290,2011-11-01
75,18.13285509325682,27015290,2011-12-01
76,18.20300136425645,27015290,2012-01-01
77,18.763067292644763,27015290,2012-02-01
78,18.653221288515425,27015290,2012-03-01
79,17.626539589442842,27015290,2012-04-01
80,18.463369397217917,27015290,2012-05-01
81,19.08562691131498,27015290,2012-06-01
82,19.297063142437604,27015290,2012-07-01
83,18.782344428364688,27015290,2012-08-01
84,19.3562893081761,27015290,2012-09-01
85,18.181854838709675,27015290,2012-10-01
86,18.5140277777778,27015290,2012-11-01
87,18.61881720430108,27015290,2012-12-01
88,19.7540322580645,27015290,2013-01-01
89,18.727083333333326,27015290,2013-02-01
90,19.644220430107502,27015290,2013-03-01
91,19.46250000000001,27015290,2013-04-01
92,18.635127860026916,27015290,2013-05-01
93,19.57039106145248,27015290,2013-06-01
94,19.51370967741935,27015290,2013-07-01
95,19.076209677419364,27015290,2013-08-01
96,19.08504273504273,27015290,2013-09-01
97,18.85020297699596,27015290,2013-10-01
98,18.23004172461751,27015290,2013-11-01
99,18.585329744279935,27015290,2013-12-01
100,18.9118918918919,27015290,2014-01-01
101,19.110852713178282,27015290,2014-02-01
102,19.15475177304962,27015290,2014-03-01
103,19.507794117647066,27015290,2014-04-01
104,18.793680297397774,27015290,2014-05-01
105,20.09085631349782,27015290,2015-08-01
106,19.6862341772152,27015290,2015-09-01
107,19.27492957746479,27015290,2015-10-01
108,19.048870056497165,27015290,2015-11-01
109,20.006666666666657,27015290,2015-12-01
110,18.635256410256414,27015290,2016-04-01
111,19.67016129032258,27015290,2016-05-01
112,19.695138888888888,27015290,2016-06-01
113,19.363310344827607,27015290,2016-07-01
114,20.02740963855423,27015290,2016-08-01
115,19.0733618233618,27015290,2016-09-01
116,18.66814516129032,27015290,2016-10-01
117,17.989861111111093,27015290,2016-11-01
118,18.288108108108112,27015290,2016-12-01
119,18.489381720430117,27015290,2017-01-01
120,19.11759259259258,27015290,2017-02-01
121,17.974459459459478,27015290,2017-03-01
122,19.02072322670376,27015290,2017-04-01
123,18.88346774193547,27015290,2017-05-01
124,18.977104874446084,27015290,2017-06-01
125,20.23340517241379,27015290,2017-07-01
126,19.39145962732919,27015290,2017-08-01
127,18.970258620689634,27015290,2017-09-01
128,18.504063860667635,27015290,2017-10-01
129,18.416548797736933,27015290,2017-11-01
130,18.57838235294117,27015290,2017-12-01
131,18.20917808219177,27015290,2018-01-01
