,valor_observado,cod_estacion,fecha_observacion
0,21.836563876651987,27015330,2014-12-01
1,22.317204301075275,27015330,2015-01-01
2,22.285863095238124,27015330,2015-02-01
3,22.43072378138845,27015330,2015-03-01
4,22.200416666666662,27015330,2015-04-01
5,23.016397849462336,27015330,2015-05-01
6,23.73388888888888,27015330,2015-06-01
7,23.46155913978494,27015330,2015-07-01
8,23.550403225806427,27015330,2015-08-01
9,23.62958333333332,27015330,2015-09-01
10,22.21505376344088,27015330,2015-10-01
11,22.018941504178283,27015330,2015-11-01
12,23.50134770889486,27015330,2015-12-01
13,22.964247311827954,27015330,2016-01-01
14,23.797118155619597,27015330,2016-02-01
15,23.984677419354846,27015330,2016-03-01
16,22.77019498607243,27015330,2016-04-01
17,21.701398601398598,27015330,2016-05-01
18,23.27181571815719,27015330,2016-06-01
19,22.670482758620697,27015330,2016-07-01
20,23.566153846153846,27015330,2016-08-01
21,23.09529411764706,27015330,2016-09-01
22,21.553162853297447,27015330,2016-10-01
23,20.975421348314597,27015330,2016-11-01
24,21.157604306864066,27015330,2016-12-01
25,21.36525885558582,27015330,2017-01-01
26,22.29166666666666,27015330,2017-02-01
27,20.90458970792768,27015330,2017-03-01
28,22.224930362116968,27015330,2017-04-01
29,21.735309973045833,27015330,2017-05-01
30,21.81295264623955,27015330,2017-06-01
31,22.964256480218314,27015330,2017-07-01
32,22.50283783783783,27015330,2017-08-01
33,21.876183844011127,27015330,2017-09-01
34,21.430904183535752,27015330,2017-10-01
35,21.288087774294667,27015330,2017-11-01
36,21.700765696784092,27015330,2017-12-01
37,21.245760430686428,27015330,2018-01-01
38,21.412648809523784,27015330,2018-02-01
39,22.121457489878562,27015330,2018-03-01
40,21.18300455235205,27015330,2018-04-01
41,21.024444444444452,27015330,2018-05-01
42,22.330319888734362,27015330,2018-06-01
43,22.9223602484472,27015330,2018-07-01
44,23.113555992141432,27015330,2018-08-01
45,21.870972222222242,27015330,2018-09-01
46,21.063257065948843,27015330,2018-10-01
47,21.119467787114836,27015330,2018-11-01
48,22.057951482479783,27015330,2018-12-01
49,22.186406460296098,27015330,2019-01-01
50,22.42384500745156,27015330,2019-02-01
51,21.87642857142858,27015330,2019-03-01
52,21.75256410256412,27015330,2019-04-01
53,21.82208333333332,27015330,2019-05-01
54,22.880456490727525,27015330,2019-06-01
55,22.81258457374833,27015330,2019-07-01
56,23.6453947368421,27015330,2019-08-01
57,23.263444354183584,27015330,2019-09-01
58,21.344523470839274,27015330,2019-10-01
59,21.34281690140845,27015330,2019-11-01
60,22.09078212290505,27015330,2019-12-01
61,22.313861386138637,27015330,2020-01-01
62,23.349071207430324,27015330,2020-02-01
63,22.801833568406217,27015330,2020-03-01
64,22.467013372956906,27015330,2020-04-01
65,23.423300970873804,27015330,2020-05-01
66,21.963701578192275,27015330,2020-06-01
67,21.707534246575356,27015330,2020-07-01
68,22.290642458100514,27015330,2020-08-01
69,21.444305772230887,27015330,2020-09-01
70,21.213087248322154,27015330,2020-10-01
71,21.005668604651166,27015330,2020-11-01
72,21.559868421052602,27015330,2020-12-01
73,21.974131274131267,27015330,2021-01-01
74,22.121428571428588,27015330,2021-02-01
75,20.642553191489352,27015330,2021-03-01
76,21.82247557003257,27015330,2021-04-01
77,21.656923076923075,27015330,2021-05-01
78,21.28166431593795,27015330,2021-06-01
79,22.430717185385635,27015330,2021-07-01
80,21.55572998430139,27015330,2021-08-01
81,21.65299401197606,27015330,2021-09-01
82,21.258553546592513,27015330,2021-10-01
83,20.91523947750362,27015330,2021-11-01
84,21.555788005578812,27015330,2021-12-01
85,21.15445402298852,27015330,2022-01-01
86,20.938523274478325,27015330,2022-02-01
87,20.55454545454544,27015330,2022-03-01
88,21.33835425383544,27015330,2022-04-01
89,21.576585365853656,27015330,2022-05-01
90,20.252873563218383,27015330,2022-06-01
91,21.882352941176443,27015330,2022-07-01
92,21.58399999999999,27015330,2022-08-01
