,CodigoEstacion,Longitud,Latitud,Departamento,Municipio
89,26055120,-76.53388889,3.378,VALLE DEL CAUCA,CALI
90,26145090,-75.90294444,5.207472222,RISARALDA,BELÉN DE UMBRÍA
91,27015280,-75.64444444,6.632027778,ANTIOQUIA,ENTRERRIOS
92,21205509,-74.628,4.397,BOGOTA,"BOGOTA, D.C"
93,21205012,-74.08908333,4.638083333,BOGOTA,"BOGOTA, D.C"
94,21205511,-73.733,5.001,CUNDINAMARCA,VILLAGÓMEZ
95,47035030,-74.898,-0.174,PUTUMAYO,PUERTO LEGUÍZAMO
96,29004520,-74.785,11.00638889,ATLANTICO,BARRANQUILLA
97,24035410,-72.91115278,5.753333333,BOYACÁ,SOGAMOSO
98,24015340,-73.9,5.283,CUNDINAMARCA,CARMEN DE CARUPA
99,46015030,-74.76269444,2.063,CAQUETA,SAN VICENTE DEL CAGUÁN
100,16035030,-72.80305556,8.076666667,NORTE DE SANTANDER,SARDINATA
101,55015020,-77.362,4.958,CHOCÓ,QUIBDÓ
102,24035380,-72.31416667,6.509111111,BOYACÁ,GUICÁN
103,35035130,-73.80325,4.713666667,CUNDINAMARCA,GUASCA
104,15085050,-71.21094444,12.08352778,LA GUAJIRA,URIBIA
105,54015010,-76.03163889,5.233444444,RISARALDA,PUEBLO RICO
106,24035390,-72.69633333,6.945388889,SANTANDER,CERRITO
107,16015110,-72.48716667,7.898777778,NORTE DE SANTANDER,CÚCUTA
108,1111500036,-76.070733333,6.6363,ANTIOQUIA,ABRIAQUÍ
109,25025030,-75.165,8.295,CÓRDOBA,AYAPEL
110,26035100,-76.828,2.48,CAUCA,EL TAMBO
111,21205710,-74.10266667,4.669333333,BOGOTA,"BOGOTA, D.C"
112,26105250,-75.92519444,4.689777778,VALLE DEL CAUCA,CARTAGO
113,12015110,-76.69405556,7.671138889,ANTIOQUIA,CHIGORODÓ
114,26085170,-76.49972222,3.4545,VALLE DEL CAUCA,CALI
115,23195502,-73.185,7.121,SANTANDER,LEBRIJA
116,23065504,-74.573,4.872,CUNDINAMARCA,VIANÍ
117,21237060,-74.65,4.633,CUNDINAMARCA,PULÍ
118,21206930,-74.02216667,5.086444444,CUNDINAMARCA,ZIPAQUIRÁ
119,26055100,-76.6515,3.416055556,VALLE DEL CAUCA,CALI
120,35025502,-74.0,4.56,BOGOTA,"BOGOTA, D.C"
121,23035030,-74.658,5.492861111,CUNDINAMARCA,PUERTO SALGAR
122,24055080,-73.70488889,6.982972222,SANTANDER,BARRANCABERMEJA
123,21205660,-74.52661111,4.581888889,CUNDINAMARCA,ANAPOIMA
124,56015010,-77.404,6.223,CHOCÓ,BAHÍA SOLANO (MUTIS)
125,2603500127,-76.852061111,2.542913889,CAUCA,EL TAMBO
126,13085050,-75.844,9.253,CÓRDOBA,LORICA
127,52045080,-77.28338889,1.225111111,NARIÑO,PASTO
128,26135290,-75.73838889,4.929583333,RISARALDA,MARSELLA
129,21205517,-74.05,4.788,CUNDINAMARCA,SOPÓ
130,21205507,-74.431,4.73,CUNDINAMARCA,CACHIPAY
131,21115180,-75.08152778,3.133055556,HUILA,BARAYA
132,35095130,-72.282,6.362,ARAUCA,SARAVENA
133,14015020,-75.516,10.447,BOLÍVAR,CARTAGENA
134,21206950,-73.52508333,5.236055556,CUNDINAMARCA,VILLAPINZÓN
135,33035010,-71.341,4.574,META,PUERTO GAITÁN
136,21205521,-73.936,4.738,CUNDINAMARCA,LA CALERA
137,2906500077,-74.019138889,10.77175,MAGDALENA,CIÉNAGA
138,28025502,-73.248,10.436,CESAR,VALLEDUPAR
139,35195060,-72.791,5.524,BOYACÁ,AQUITANIA
140,23125140,-74.18241667,5.520833333,BOYACÁ,QUÍPAMA
141,12025040,-76.71633333,8.091805556,ANTIOQUIA,TURBO
142,14015010,-75.26055556,10.79416667,BOLIVAR,SANTA CATALINA
143,27015310,-75.55211111,6.32975,ANTIOQUIA,BELLO
144,21205515,-74.174,4.7,CUNDINAMARCA,SOACHA
145,23195090,-72.9875,7.365833333,SANTANDER,SURATÁ
146,35165000,-72.941,5.575,BOYACÁ,CUÍTIVA
147,35075090,-73.65,5.083,CUNDINAMARCA,MACHETÁ
148,11035030,-76.628,5.285,CHOCÓ,UNIÓN PANAMERICANA
149,1602500044,-72.803027778,7.913166667,NORTE DE SANTANDER,GRAMALOTE
150,44035050,-75.661,1.499722222,CAQUETA,FLORENCIA
151,29045000,-74.919,10.637,ATLÁNTICO,SABANALARGA
152,15065501,-72.61594444,11.13758333,LA GUAJIRA,ALBANIA
153,25025340,-75.14269444,8.596833333,SUCRE,SAN MARCOS
154,11080010,-76.885,6.559,CHOCÓ,BOJAYÁ (BELLAVISTA)
155,2621500070,-75.766358333,7.175363889,ANTIOQUIA,ITUANGO
156,31095030,-67.932,3.868,GUAINÍA,INÍRIDA
157,21206600,-74.09433333,4.782222222,BOGOTA,"BOGOTA, D.C"
158,14017001,-75.741,10.235,BOLÍVAR,CARTAGENA DE INDIAS
159,54020020,-76.606,4.956,CHOCÓ,NÓVITA
160,16055120,-73.3975,8.227694444,NORTE DE SANTANDER,OCAÑA
161,35025110,-73.46791667,4.057361111,META,VILLAVICENCIO
162,27015330,-75.589,6.221,ANTIOQUIA,MEDELLÍN
163,21205480,-73.717,5.033,CUNDINAMARCA,CHOCONTÁ
164,24025050,-73.151,6.274,SANTANDER,CHARALÁ
