i;CodigoEstacion;NombreEstacion;Departamento;Municipio;ZonaHidrografica;Latitud;Longitud
8;14015020;APTO RAFAEL NUÑEZ  TX GPRS;bolivar;cartagena;caribe - litoral;10.447;-75.516
8;14015080;AEROPUERTO RAFAEL NUNEZ;bolivar;cartagena de indias;caribe - litoral;10.44725;-75.51602778
14;48015010;APTO VASQUEZ COBO TX GPRS/GOES;amazonas;leticia;<nil>;-4.194;-69.941
14;48015050;AEROPUERTO VASQUEZ COBO;amazonas;leticia;amazonas - directos;-4.193861111;-69.94091667
