,Codigo,Departamento,Municipio,Longitud,Latitud,fecha_max,presion_max,entidad,distancia_volcan(km),tiempo_llegada(horas),velocidad(m/s)
22,68.0,Antioquia,Medellin,-75.56291,6.26925,2022-01-15 09:30:00,856.9,SIATA,11283.707938503916,10.466666666666667,299.4614633360912
24,83.0,Antioquia,Medellin,-75.63112,6.27189,2022-01-15 09:30:00,819.2,SIATA,11276.704727110418,10.466666666666667,299.2756031611045
25,105.0,Antioquia,Caldas,-75.63535999999998,6.09628,2022-01-15 09:30:00,830.0,SIATA,11269.645134421782,10.466666666666667,299.08824666724473
28,198.0,Antioquia,Medellin,-75.57777,6.20898,2022-01-15 09:30:00,852.8599849999998,SIATA,11279.890620159029,10.466666666666667,299.3601544628192
29,201.0,Antioquia,Medellin,-75.5887,6.2592,2022-01-15 09:30:00,852.3,SIATA,11280.644007123416,10.466666666666667,299.3801488090079
30,202.0,Antioquia,Medellin,-75.57403000000002,6.24224,2022-01-15 09:30:00,855.1,SIATA,11281.532900672928,10.466666666666667,299.40373940214783
31,203.0,Antioquia,Medellin,-75.57825,6.26074,2022-01-15 09:30:00,856.8,SIATA,11281.790154851053,10.466666666666667,299.4105667423315
35,313.0,Antioquia,Medellin,-75.55064,6.18254,2022-01-15 09:30:00,809.349976,SIATA,11281.719627097164,10.466666666666667,299.40869498665506
36,318.0,Antioquia,Sabaneta,-75.62139,6.14564,2022-01-15 09:30:00,841.340027,SIATA,11272.961194343728,10.466666666666667,299.17625250381445
38,360.0,Antioquia,Medellin,-75.54919,6.22997,2022-01-15 09:30:00,832.539978,SIATA,11283.6574218916,10.466666666666667,299.4601226616666
39,362.0,Antioquia,Medellin,-75.5574,6.20136,2022-01-15 09:30:00,823.099976,SIATA,11281.724761773943,10.466666666666667,299.40883125727026
40,367.0,Antioquia,Medellin,-75.54248,6.25525,2022-01-15 09:30:00,819.869995,SIATA,11285.308180272285,10.466666666666667,299.50393259745977
42,399.0,Antioquia,Medellin,-75.58223000000002,6.30053,2022-01-15 09:30:00,828.669983,SIATA,11282.873775040312,10.466666666666667,299.43932523992333
44,419.0,Antioquia,Medellin,-75.57471,6.25551,2022-01-15 09:30:00,854.150024,SIATA,11281.961832620922,10.466666666666667,299.4151229464151
45,427.0,Antioquia,Medellin,-75.56912,6.29391,2022-01-15 09:30:00,851.6199949999999,SIATA,11283.989687197043,10.466666666666667,299.46894074302134
