;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
27;21165502;VILLARICA  - AUT;villarrica;tolima;alto magdalena;3.955641667;-74.59178611;2016-06-16 08:35:00;2021-03-23 10:30:00;5.0;5.0;(339641, 3);32.00441;0.006727886;20.852895373839818;3.2348369442730585;20.12341
28;28045501;PUEBLO BELLO  - AUT;pueblo bello;cesar;cesar;10.42166667;-73.57471944;2016-06-16 08:35:00;2021-12-13 23:55:00;5.0;5.0;(317154, 3);49.99999;0.02119516;21.730859933966006;4.82268220540053;20.928725
29;21015501;PITALITO  - AUT;pitalito;huila;alto magdalena;1.777527778;-76.19163889;2016-06-15 17:05:00;2019-09-26 08:50:00;5.0;5.0;(247180, 3);31.28722;10.40023;19.19444296112164;3.5964244531292464;18.101865
30;26145504;OSPIRMA  - AUT;guatica;risaralda;cauca;5.325552778;-75.812775;2016-06-02 14:35:00;2021-12-13 23:55:00;5.0;5.0;(411597, 3);32.0527;0.2679025;19.412924259409436;3.555744891954938;18.1437
31;52035040;VIENTO LIBRE - AUT;taminango;narino;patia;1.6185;-77.34361111;2005-11-13 09:00:00;2021-12-13 23:00:00;120.0;60.0;(92879, 3);36.8;0.0;23.880234498648523;3.6804669244795294;22.7
32;26155260;SENDERO LAGUNA VERDE  - AUT;villamaria;caldas;cauca;4.840666667;-75.36161111;2008-05-15 10:00:00;2021-12-13 23:00:00;60.0;60.0;(106533, 3);18.0;0.0;3.9604911154290314;2.427954902202976;3.3
33;44015060;ACUEDUCTO MOCOA - AUT;mocoa;putumayo;caqueta;1.157333333;-76.65183333;2006-06-24 11:00:00;2021-12-13 23:00:00;120.0;60.0;(77040, 3);35.1;0.0;23.313447949117414;2.9259121506922856;22.4
34;21045501;OPORAPA  - AUT;oporapa;huila;alto magdalena;2.041941667;-76.01191667;2016-06-15 16:30:00;2021-12-13 23:55:00;5.0;5.0;(337228, 3);31.32882;12.3;18.959854237963167;3.071432454344441;18.016615
35;26125502;CAICEDONIA  - AUT;caicedonia;valle del cauca;cauca;4.297558333;-75.86396111;2016-08-01 10:45:00;2021-12-13 23:55:00;5.0;5.0;(342709, 3);34.04464;13.9;21.006290607045162;3.777901594004664;19.52413
36;26155505;GRANJA LUKER  - AUT;palestina;caldas;cauca;5.070275;-75.68555278;2016-06-15 16:30:00;2020-09-21 10:25:00;5.0;5.0;(369396, 3);37.02851;12.15988;23.185854389598273;4.497172555790623;21.561965
37;21206810;SAN BENITO - FOPAE;bogota;bogota;alto magdalena;4.55;-74.233;2010-10-13 11:10:00;2016-08-01 13:30:00;690.0;15.0;(448047, 3);27.6;9.8;16.80562976651733;2.216928822559919;16.4
38;23055501;SANTA HELENA  - AUT;marquetalia;caldas;medio magdalena;5.317497222;-74.99610833;2016-06-16 08:35:00;2019-04-23 11:30:00;5.0;5.0;(226455, 3);31.1;14.2;20.541455241703922;2.5441942508980975;19.98265
39;26115501;MANUEL MARIA MALLARINO  - AUT;trujillo;valle del cauca;cauca;4.213611111;-76.31497222;2016-06-02 14:30:00;2021-12-13 23:55:00;5.0;5.0;(398363, 3);34.54291;12.09928;21.26093758047274;3.8414791338707426;19.92291
40;21205527;ALTO DEL AIRE  - AUT;cucunuba;cundinamarca;alto magdalena;5.198;-73.805;2018-10-29 15:00:00;2021-12-13 23:50:00;10.0;10.0;(133036, 3);21.259;3.538;10.916050196939295;2.5326484110567264;10.2615
41;21215190;CAJAMARCA - AUT;cajamarca;tolima;alto magdalena;4.435666667;-75.50036111;2006-12-01 17:00:00;2021-12-13 23:00:00;60.0;60.0;(100038, 3);39.6;0.0;14.397013135008649;2.2951647693238146;14.0
42;16015502;BLONAY  - AUT;chinacota;norte de santander;catatumbo;7.564997222;-72.62110833;2016-05-26 12:50:00;2021-12-13 23:55:00;5.0;5.0;(464730, 3);36.17316;0.2316514;20.4626377062921;4.174931944559626;19.02974
43;24055080;VIZCAINA LA LIZAMA  - AUT;barrancabermeja;santander;sogamoso;6.982972222;-73.70488889;2005-02-14 18:00:00;2021-12-13 23:00:00;60.0;60.0;(113399, 3);44.4;0.0;28.00555207717861;4.105659835923398;26.7
44;26175502;LA CRISTALINA  - AUT;tamesis;antioquia;cauca;5.7;-75.65999722;2016-06-15 16:20:00;2019-06-12 11:10:00;5.0;5.0;(219568, 3);39.22618;16.00927;25.188968669932994;4.468886321145611;24.019685000000003
45;36015501;TAMARA  - AUT;tamara;casanare;casanare;5.872219444;-72.11944167;2016-06-16 08:35:00;2021-12-13 23:55:00;5.0;5.0;(375185, 3);33.76891;0.01701101;23.1289802674733;2.983094489468778;22.58944
46;26135503;NARANJAL  - AUT;chinchina;caldas;cauca;4.971944444;-75.65221944;2016-06-02 14:30:00;2021-12-13 23:55:00;5.0;5.0;(454833, 3);34.66544;12.87868;21.31968911294928;3.875888855673761;19.96403
47;53115501;DAGUA  - AUT;dagua;valle del cauca;tapaje - dagua - directos;3.610441667;-76.63785833;2016-06-15 14:15:00;2021-12-13 23:55:00;5.0;5.0;(412438, 3);36.24806;0.774469;20.366917866009437;3.30510361630094;19.1647
48;23065503;EL MIRADOR  - AUT;sasaima;cundinamarca;medio magdalena;4.95;-74.4;2016-06-15 08:35:00;2019-08-05 09:50:00;5.0;5.0;(242482, 3);30.7;0.0;19.729270538554548;2.9417516367516647;19.0
49;24055070;SAN  VICENTE DE CHUCURI  - AUT;san vicente de chucuri;santander;medio magdalena;6.823388889;-73.47205556;2005-04-19 18:00:00;2021-12-13 23:00:00;60.0;60.0;(94123, 3);32.3;0.0;21.943909565141652;2.196753339261814;21.9
50;23105060;VEGACHA;vegachi;antioquia;medio magdalena;6.774;-74.797;2006-04-12 19:00:00;2017-02-06 15:00:00;60.0;360.0;(55191, 3);34.8;0.0;22.76345781015014;3.485310343731788;21.8
51;21202200;VITELMA;bogota;bogota;meta;4.575;-74.072;2010-10-19 17:20:00;2016-08-01 12:35:00;5.0;5.0;(383077, 3);34.3;7.3;15.609767487995834;2.6818406534478503;14.9
52;26205501;EL ROSARIO  - AUT;venecia;antioquia;cauca;5.625830556;-75.70527778;2016-06-02 14:35:00;2021-12-13 23:55:00;5.0;5.0;(467553, 3);32.69906;14.13796;20.496338593677947;3.3328006836652166;19.73101
53;26125290;ARMENIA - AUT;armenia;quindio;cauca;4.531583333;-75.69069444;2005-05-18 18:00:00;2017-12-13 14:00:00;60.0;60.0;(92299, 3);36.8;0.0;21.672751600775758;3.709803960737063;20.6
54;21195190;PASCA - AUT;pasca;cundinamarca;alto magdalena;4.310111111;-74.31175;2008-06-25 17:00:00;2021-12-13 23:00:00;60.0;60.0;(91872, 3);24.7;5.0;15.605134317311116;2.405227195335518;15.2
55;21205501;MESITAS DE SANTA INES  - AUT;cachipay;cundinamarca;alto magdalena;4.718611111;-74.45527778;2016-06-02 14:35:00;2018-04-30 08:55:00;5.0;5.0;(58926, 3);32.4;14.9286;21.449222325458962;3.2260250012323923;20.634104999999998
56;23035030;BASE PALANQUERO  - AUT;puerto salgar;cundinamarca;medio magdalena;5.492861111;-74.658;2005-10-30 01:00:00;2020-04-06 19:00:00;60.0;60.0;(95447, 3);41.9;0.0;27.627178434104966;3.886740467040704;26.5
57;11025501;CARMEN DE ATRATO  - AUT;el carmen;choco;atrato - darien;5.888719444;-76.14516667;2016-06-02 14:35:00;2021-12-13 23:55:00;5.0;5.0;(405596, 3);46.95212;7.525627;18.83445700266514;3.093819655186737;17.83555
58;21208480;KENNEDY - FOPAE;bogota;bogota;alto magdalena;4.633;-74.15;2012-01-01 00:05:00;2016-08-01 13:25:00;5.0;10.0;(326943, 3);37.4;10.1;16.863452956628635;1.8611830235480122;16.6
59;28035060;FEDEARROZ - AUT;valledupar;cesar;cesar;10.46361111;-73.24805556;2005-07-18 11:00:00;2021-12-13 23:00:00;60.0;60.0;(128175, 3);47.8;0.0;28.905984006241347;4.832519636059028;28.3
