;cod;lat;lon;dep;mun;alt
85;44015060;1.157333333;-76.65183333;PUTUMAYO;MOCOA;6
86;88112901;0.0;0.0;<nil>;<nil>;6
87;15075501;12.22430556;-71.98288889;LA GUAJIRA;URIBIA;1
88;26125710;4.813;-75.74;RISARALDA;PEREIRA;1
89;35075070;5.21925;-73.35038889;BOYACÁ;CHINAVITA;2
90;25025350;9.316388889;-75.3875;SUCRE;SINCELEJO;1
91;21205791;4.706;-74.151;BOGOTA D.C.;BOGOTA, D.C;2
92;25025002;9.304;-74.274;MAGDALENA;SAN SEBASTIÁN DE BUENAVISTA;2
93;52055230;0.857;-77.678;NARIÑO;ALDANA;2
94;56125730;4.62325;-75.430961111;QUINDÍO;SALENTO;3
95;26075150;3.533;-76.382;VALLE DEL CAUCA;PALMIRA;9
96;27015310;6.32975;-75.55211111;ANTIOQUIA;BELLO;1
97;23195502;7.121;-73.185;SANTANDER;LEBRIJA;1
98;14015020;10.447;-75.516;BOLÍVAR;CARTAGENA;1
99;21205512;4.469;-74.079;BOGOTA;BOGOTA, D.C;3
100;26015030;2.356848889;-76.40354389;CAUCA;PURACÉ (COCONUCO);3
101;24035440;6.493583333;-72.311611111;BOYACÁ;GUICÁN;5
102;53075020;2.311416667;-77.25877778;CAUCA;ARGELIA;1
103;48015050;-4.193861111;-69.94091667;AMAZONAS;LETICIA;8
104;24035340;5.677;-72.968;BOYACÁ;SOGAMOSO;2
105;35075090;5.083;-73.65;CUNDINAMARCA;MACHETÁ;2
106;23195240;8.123416667;-73.57986111;CESAR;AGUACHICA;1
107;21205527;5.198;-73.805;CUNDINAMARCA;CUCUNUBÁ;1
108;21205525;5.229;-73.585;CUNDINAMARCA;VILLAPINZÓN;1
109;29035000;10.14258333;-75.27827778;BOLIVAR;ARJONA;1
110;23195040;7.145;-73.122;SANTANDER;BUCARAMANGA;1
