CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
2120000106;GRAN BRETAÑA - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26125504;PARAGUAICITO  - AUT;BUENAVISTA;QUINDÍO;CAUCA
2120700037;CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
35095130;LAGUNA DE LA PLAZA;SARAVENA;ARAUCA;CASANARE
55015010;PIE DE PATO - AUT;ALTO BAUDÓ (PIE DE PATO);CHOCO;BAUDÓ - DIRECTOS PACIFICO
54035501;SANTIAGO GUTIERREZ  - AUT;ARGELIA;VALLE DEL CAUCA;SAN JUÁN
23015501;FRESNO  - AUT;FRESNO;TOLIMA;MEDIO MAGDALENA
21215501;ESPERANZA LA  - AUT;IBAGUÉ;TOLIMA;ALTO MAGDALENA
22075050;PARAMO DE YERBABUENA  - AUT;RONCESVALLES;TOLIMA;SALDAÑA
26125505;LA BELLA  - AUT;CALARCÁ;QUINDÍO;CAUCA
35075080;PARAMO RABANAL - AUT;VENTAQUEMADA;BOYACÁ;META
44015070;EL PEPINO - AUT;MOCOA;PUTUMAYO;CAQUETÁ
35027510;CALOSTROS BAJO - AUT;LA CALERA;CUNDINAMARCA;META
44035501;PAUJIL  - AUT;EL PAUJIL;CAQUETA;CAQUETÁ
27015310;METROMEDELLIN - AUT;BELLO;ANTIOQUIA;NECHÍ
13055040;INCODER - AUT;MONTERÍA;CORDOBA;SINÚ
23085501;COCORNA  - AUT;COCORNÁ;ANTIOQUIA;MEDIO MAGDALENA
24010390;El TRIANGULO - CAR;LENGUAZAQUE;CUNDINAMARCA;SOGAMOSO
26055501;GINEBRA  - AUT;GINEBRA;VALLE DEL CAUCA;CAUCA
23025502;ALMACAFE LETRAS  - AUT;MANIZALES;CALDAS;MEDIO MAGDALENA
26145503;ANSERMA  - AUT;ANSERMA;CALDAS;CAUCA
52055502;SANDONA  - AUT;SANDONÁ;NARIÑO;PATÍA
21202170;SIERRA MORENA - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26155170;TESORITO FINCA  - AUT;MANIZALES;CALDAS;CAUCA
24035410;SOGAMOSO - AUT;SOGAMOSO;BOYACÁ;SOGAMOSO
46015030;SAN VICENTE DEL CAGUAN  - AUT;SAN VICENTE DEL CAGUÁN;CAQUETA;CAGUÁN
52055220;EL PARAISO - AUT;TÚQUERRES;NARIÑO;PATÍA
16015110;UNIVERSIDAD FRANCISO DE PAULA SANTANDER - AUT;CÚCUTA;NORTE DE SANTANDER;CATATUMBO
23055502;VILLARAZ  - AUT;PENSILVANIA;CALDAS;MEDIO MAGDALENA
23065502;LA PALMA  - AUT;LA PALMA;CUNDINAMARCA;MEDIO MAGDALENA
35025080;PNN CHINGAZA - AUT;LA CALERA;CUNDINAMARCA;META
29065000;MEDIA LUNA - AUT;PIVIJAI;MAGDALENA;BAJO MAGDALENA
27015290;PAJARITO - AUT;MEDELLÍN;ANTIOQUIA;NECHÍ
28025130;LA LOMA CARBONES - AUT;EL PASO;CESAR;CESAR
21215150;NEVADO DEL TOLIMA  - AUT;ANZOÁTEGUI;TOLIMA;ALTO MAGDALENA
21055501;SIMON CAMPOS  - AUT;LA PLATA;HUILA;ALTO MAGDALENA
24035430;TUNGUAVITA - AUT;PAIPA;BOYACÁ;SOGAMOSO
3206500045;GRANADA SENA - AUT;GRANADA;META;GUAVIARE
21202230;UAN SEDE USME - FOPAE;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
26155230;EMAS - AUT;MANIZALES;CALDAS;CAUCA
11045010;PR CHOCO: APTO EL CARANO;QUIBDÓ;CHOCO;ATRATO - DARIÉN
21085501;TERUEL  - AUT;TERUEL;HUILA;ALTO MAGDALENA
53075020;EL DIVISO - AUT;ARGELIA;CAUCA;TAPAJE - DAGUA - DIRECTOS
26145506;FILO BONITO  - AUT;BELALCAZAR;CALDAS;CAUCA
26125508;LACATALINA  - AUT;PEREIRA;RISARALDA;CAUCA
17017001;JHONNY CAY;SAN ANDRÉS;SAN ANDRÉS PROVIDENCIA;ISLAS CARIBE
26145501;APIA  - AUT;APÍA;RISARALDA;CAUCA
35085070;SANTA MARIA - AUT;SANTA MARÍA;BOYACÁ;META
21185501;ROVIRA  - AUT;ROVIRA;TOLIMA;ALTO MAGDALENA
24025090;MOGOTES - AUT;MOGOTES;SANTANDER;SOGAMOSO
25025380;SAN BENITO ABAD - LA MOJANA TX GPRS/GOES;SAN BENITO ABAD;SUCRE;BAJO MAGDALENA- CAUCA -SAN JORGE
51025060;BIOTOPO - AUT;BARBACOAS;NARIÑO;MIRA
2120000104;COLEGIO MIGUEL ANTONIO CARO - AUT;BOGOTA, D.C;BOGOTA D.C.;ALTO MAGDALENA
24035380;NEVADO DEL COCUY - AUT;GUICÁN;BOYACÁ;SOGAMOSO
35025502;LA ESMERALDA-  - AUT;BOGOTA, D.C;BOGOTA;META
26215501;CONCORDIA  - AUT;CONCORDIA;ANTIOQUIA;CAUCA
24055501;CHUCURI  - AUT;SAN VICENTE DE CHUCURÍ;SANTANDER;SOGAMOSO
23065501;PACHO  - AUT;PACHO;CUNDINAMARCA;MEDIO MAGDALENA
21115180;HACIENDA MANILA - AUT;BARAYA;HUILA;ALTO MAGDALENA
11105020;CARMEN DARIEN;CARMEN DEL DARIÉN  (CURBARADÓ);CHOCÓ;ATRATO - DARIÉN
14017001;TESORO INVEMAR;CARTAGENA DE INDIAS;BOLÍVAR;BAJO MAGDALENA
23125501;PAUNA  - AUT;PAUNA;BOYACÁ;MEDIO MAGDALENA
23125160;SAN PABLO DE BORBUR  - AUT;SAN PABLO DE BORBUR;BOYACÁ;MEDIO MAGDALENA
44035050;MACAGUAL - AUT;FLORENCIA;CAQUETA;CAQUETÁ
52015050;BALBOA - AUT;BALBOA;CAUCA;PATÍA
21205509;EL DESTINO  - AUT;BOGOTA, D.C;BOGOTA;ALTO MAGDALENA
16055501;GABRIEL MARIA  - AUT;CONVENCIÓN;NORTE DE SANTANDER;CATATUMBO
26125503;LA SIRENA  - AUT;SEVILLA;VALLE DEL CAUCA;CAUCA
26085170;BASE AEREA MARCO FIDEL SUAREZ  - AUT;CALI;VALLE DEL CAUCA;CAUCA
21205523;UNIVERSIDAD SANTO TOMÁS  - AUT;BOGOTA, D.C;BOGOTA;ALTO MAGDALENA
26225060;HACIENDA COTOVE - AUT;SANTA FE DE ANTIOQUIA;ANTIOQUIA;CAUCA
24015300;VILLA DE LEIVA  - AUT;VILLA DE LEIVA;BOYACÁ;SOGAMOSO
26155220;VILLAMARIA - AUT;VILLAMARIA;CALDAS;CAUCA
21055070;INZA - AUT;INZÁ;CAUCA;ALTO MAGDALENA
