Codigo,Departamento,Municipio,Longitud,Latitud,fecha_max,presion_max,entidad,distancia_volcan(km),tiempo_llegada(horas),velocidad(m/s)
269.0,Antioquia,Barbosa,-75.41871,6.40661,2022-01-15 09:32:00,871.3800050000001,SIATA,11303.890739494545,10.5,299.04472855805676
313.0,Antioquia,Medellin,-75.55064,6.18254,2022-01-15 09:30:00,809.349976,SIATA,11281.719627097164,10.466666666666667,299.40869498665506
318.0,Antioquia,Sabaneta,-75.62139,6.14564,2022-01-15 09:30:00,841.340027,SIATA,11272.961194343728,10.466666666666667,299.17625250381445
345.0,Antioquia,Medellin,-75.55391999999999,6.29552,2022-01-15 09:31:00,848.8599849999999,SIATA,11285.633034394565,10.483333333333333,299.0363814095009
360.0,Antioquia,Medellin,-75.54919,6.22997,2022-01-15 09:30:00,832.539978,SIATA,11283.657421891598,10.466666666666667,299.4601226616666
362.0,Antioquia,Medellin,-75.5574,6.20136,2022-01-15 09:30:00,823.099976,SIATA,11281.724761773943,10.466666666666667,299.40883125727026
367.0,Antioquia,Medellin,-75.54248,6.25525,2022-01-15 09:30:00,819.869995,SIATA,11285.308180272283,10.466666666666667,299.50393259745977
368.0,Antioquia,Medellin,-75.54926999999999,6.297219999999999,2022-01-15 09:31:00,839.01001,SIATA,11286.181219539982,10.483333333333333,299.0509067180705
399.0,Antioquia,Medellin,-75.58223000000001,6.30053,2022-01-15 09:30:00,828.669983,SIATA,11282.873775040312,10.466666666666667,299.43932523992333
403.0,Antioquia,Puerto Triunfo,-74.6415,5.86831,2022-01-15 09:36:00,998.6900019999999,SIATA,11364.565659022915,10.566666666666666,298.7530404580157
419.0,Antioquia,Medellin,-75.57471,6.25551,2022-01-15 09:30:00,854.150024,SIATA,11281.961832620922,10.466666666666667,299.4151229464151
427.0,Antioquia,Medellin,-75.56912,6.2939099999999994,2022-01-15 09:30:00,851.6199949999999,SIATA,11283.989687197043,10.466666666666667,299.4689407430213
448.0,Antioquia,Medellin,-75.57523,6.297619999999999,2022-01-15 09:31:00,841.400024,SIATA,11283.493124464258,10.483333333333333,298.9796800334991
478.0,Antioquia,Medellin,-75.57356,6.2688,2022-01-15 09:31:00,857.2800289999999,SIATA,11282.582015044845,10.483333333333333,298.9555382894766
542.0,Antioquia,Medellin,-75.5276,6.1935,2022-01-15 09:31:00,730.049988,SIATA,11284.531879455546,10.483333333333333,299.00720401313055
